imp_bin,count,mean,std,min,max,state,predictor
0-5,2549191,0.37686455,0.24996936,-0.28,57.44,Montana,mean
5-10,27573,0.8077881,1.3706007,0.07,34.23,Montana,mean
10-15,5673,1.7677771,2.920926,0.17,65.7,Montana,mean
15-20,2498,3.176229,4.4929047,0.1,74.47,Montana,mean
20-25,1484,4.793248,5.8413253,0.17,67.28,Montana,mean
25-30,1049,6.234109,6.50131,0.22,67.68,Montana,mean
30-35,844,8.513116,7.9871173,0.28,58.74,Montana,mean
35-40,732,11.031557,9.872764,0.38,71.37,Montana,mean
40-45,639,13.111612,10.052288,0.37,70.15,Montana,mean
45-50,611,16.964893,11.507128,0.47,67.27,Montana,mean
50-55,535,20.162039,12.5583935,0.47,77.88,Montana,mean
55-60,422,27.08519,15.397725,2.51,87.22,Montana,mean
60-65,292,30.255686,15.433059,3.54,82.48,Montana,mean
65-70,171,38.014034,18.86821,0.62,106.94,Montana,mean
70-75,117,40.928974,20.95954,0.42,103.52,Montana,mean
75-80,89,49.143257,25.3518,0.47,116.89,Montana,mean
80-85,40,59.9125,27.811638,2.26,128.26,Montana,mean
85-90,12,85.0725,39.588486,35.3,146.76,Montana,mean
90-95,1,57.41,,57.41,57.41,Montana,mean
95-100,0,,,,,Montana,mean
